date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:29	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Jun%202021%2015:22:04%20GMT	https://marketifythemes.net/robots.txt		(from )
10:20:30	53375/53375	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2004:50:29%20GMT	https://marketifythemes.net/wp/cavani/04/	C:/My%20Web%20Sites/S_profile_website/marketifythemes.net/wp/cavani/04/index.html	(from )
10:20:30	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jul%202022%2004:50:30%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/S_profile_website/fonts.googleapis.com/index.html	(from https://marketifythemes.net/wp/cavani/04/)
10:20:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Jul%202022%2004:50:30%20GMT	http://s.w.org/	C:/My%20Web%20Sites/S_profile_website/s.w.org/index.html	(from https://marketifythemes.net/wp/cavani/04/)
10:20:30	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-62ce1bce-161d7a226f037e2d;gz%22	https://marketifythemes.net/wp/cavani/04/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web%20Sites/S_profile_website/marketifythemes.net/wp/cavani/04/wp-includes/css/dist/block-library/style.min37ad.css	(from https://marketifythemes.net/wp/cavani/04/)
10:20:31	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jul%202022%2004:50:31%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/S_profile_website/fonts.gstatic.com/index.html	(from https://marketifythemes.net/wp/cavani/04/)
10:20:31	40379/40379	---MCZ	200	added ('OK')	application/rss+xml	etag:%2282f67f82b5b1a440ccca234ee7b563e6%22	https://marketifythemes.net/wp/cavani/04/feed/	C:/My%20Web%20Sites/S_profile_website/marketifythemes.net/wp/cavani/04/feed/index.html	(from https://marketifythemes.net/wp/cavani/04/)
10:20:31	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-62a1c9d2-55f3b6a9d1347da2;gz%22	https://marketifythemes.net/wp/cavani/04/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6.1	C:/My%20Web%20Sites/S_profile_website/marketifythemes.net/wp/cavani/04/wp-content/plugins/contact-form-7/includes/css/styles04dd.css	(from https://marketifythemes.net/wp/cavani/04/)
10:20:31	4924/4924	---MC-	200	added ('OK')	text/css	date:Thu,%2021%20Jul%202022%2004:50:32%20GMT	https://fonts.googleapis.com/css?family=Lora%3A400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%7CPoppins%3A400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%7CPoppins%3A400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%7COpen+Sans%3A400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic&subset=latin%2Ccyrillic%2Cgreek%2Cvietnamese&ver=6.0.1	C:/My%20Web%20Sites/S_profile_website/fonts.googleapis.com/css46c3.css	(from https://marketifythemes.net/wp/cavani/04/)
10:20:32	2720/2720	---M-Z	200	added ('OK')	application/rss+xml	etag:%2282f67f82b5b1a440ccca234ee7b563e6%22	https://marketifythemes.net/wp/cavani/04/comments/feed/	C:/My%20Web%20Sites/S_profile_website/marketifythemes.net/wp/cavani/04/comments/feed/index.html	(from https://marketifythemes.net/wp/cavani/04/)
